filename,true_min,true_max,frac_le_4096,frac_le_2048,frac_le_1500,frac_le_1024,frac_le_1000,frac_ge_1000,frac_ge_1500,frac_ge_2000,frac_ge_3000,pct_1_all,pct_5_all,pct_50_all,pct_95_all,pct_99_all,pct_1_body,pct_5_body,pct_50_body,pct_95_body,pct_99_body
1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.252.3_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.532641,0.60601,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1041.9,-879.8,-700.0,-999.0,-995.4,-967.6,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4198401_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.52808,0.580964,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1043.1,-835.1,-700.0,-998.5,-992.7,-958.4,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4202498_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.516218,0.566634,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1034.8,-853.6,-700.0,-998.2,-991.5,-948.9,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.739.3_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.616658,0.672136,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1099.6,-945.3,-700.0,-999.0,-995.6,-972.4,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4198401_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.603731,0.649014,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1094.4,-869.6,-700.0,-998.6,-993.4,-961.3,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4202498_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.604434,0.645854,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1094.7,-885.9,-700.0,-998.3,-992.2,-947.0,-705.9,-700.0
1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.309.3_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.547517,0.616616,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1053.1,-906.8,-700.0,-999.1,-995.6,-969.2,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4198401_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.540439,0.59724,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1050.3,-855.3,-700.0,-998.7,-994.0,-963.7,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4202498_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.537376,0.585414,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1050.4,-864.6,-700.0,-998.3,-992.1,-949.9,-709.7,-700.0
1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.294.3_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.517057,0.578916,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1033.7,-886.1,-700.0,-998.9,-995.1,-968.6,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.417.4198401_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.487434,0.539585,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1017.1,-837.6,-700.0,-998.4,-993.0,-962.7,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.417.4202498_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.474722,0.518889,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1009.2,-854.5,-700.0,-997.9,-990.5,-947.8,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649381.693_1.2.840.113619.2.278.3.717616.260.1578649381.698.3_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.571091,0.624057,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1073.7,-807.7,-700.0,-998.8,-994.3,-964.6,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649381.693_1.2.840.113619.2.278.3.717616.260.1578649381.790.4198401_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.547994,0.590795,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1058.6,-773.4,-700.0,-998.1,-991.3,-955.2,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649381.693_1.2.840.113619.2.278.3.717616.260.1578649381.790.4202498_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.548567,0.589685,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1059.6,-796.5,-700.0,-998.0,-990.7,-950.9,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649386.487_1.2.840.113619.2.278.3.717616.260.1578649386.492.3_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.495043,0.559844,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1021.5,-904.7,-700.0,-998.9,-994.9,-969.0,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649386.487_1.2.840.113619.2.278.3.717616.260.1578649386.582.4202498_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.464337,0.504038,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1002.1,-864.9,-700.0,-997.5,-988.4,-943.7,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649386.487_1.2.840.113619.2.278.3.717616.260.1578649386.755.11_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.460329,0.500082,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1000.0,-869.8,-700.0,-997.4,-988.2,-947.7,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649416.936.3_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.453737,0.677365,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1018.2,-900.1,-700.0,-999.5,-997.6,-974.8,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649417.37.4198401_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.42723,0.630539,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1014.8,-841.6,-700.0,-999.4,-996.4,-961.2,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649417.37.4202498_aligned.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.431663,0.621971,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1014.5,-854.5,-700.0,-999.3,-996.2,-955.0,-700.0,-700.0
