filename,true_min,true_max,frac_le_4096,frac_le_2048,frac_le_1500,frac_le_1024,frac_le_1000,frac_ge_1000,frac_ge_1500,frac_ge_2000,frac_ge_3000,pct_1_all,pct_5_all,pct_50_all,pct_95_all,pct_99_all,pct_1_body,pct_5_body,pct_50_body,pct_95_body,pct_99_body
1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.252.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.534839,0.607936,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1043.4,-880.0,-700.0,-999.0,-995.4,-967.6,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4198401_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.511694,0.568662,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1030.8,-797.4,-700.0,-998.5,-992.8,-958.6,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4202498_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.505006,0.559122,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1026.9,-812.2,-700.0,-998.3,-991.9,-952.2,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.739.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.616658,0.672136,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1099.6,-945.3,-700.0,-999.0,-995.6,-972.4,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4198401_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.61,0.658638,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1098.4,-836.1,-700.0,-998.7,-993.9,-961.2,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4202498_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.605707,0.651314,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1096.2,-869.9,-700.0,-998.5,-993.1,-951.6,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.309.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.552637,0.621357,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1056.9,-905.7,-700.0,-999.1,-995.7,-969.3,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4198401_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.541304,0.599731,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1048.8,-812.5,-700.0,-998.6,-993.6,-962.5,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4202498_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.574688,0.621587,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1079.4,-833.9,-700.0,-998.3,-992.3,-953.4,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.294.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.517057,0.578916,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1033.7,-886.1,-700.0,-998.9,-995.1,-968.6,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.417.4198401_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.503342,0.554261,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1026.0,-784.7,-700.0,-998.4,-992.8,-960.5,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.417.4202498_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.512858,0.556171,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1032.7,-803.4,-700.0,-998.0,-990.8,-949.8,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649381.693_1.2.840.113619.2.278.3.717616.260.1578649381.698.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.5688,0.621336,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1072.9,-805.7,-700.0,-998.8,-994.3,-964.4,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649381.693_1.2.840.113619.2.278.3.717616.260.1578649381.790.4198401_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.556593,0.598826,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1066.3,-778.5,-700.0,-998.1,-991.6,-955.7,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649381.693_1.2.840.113619.2.278.3.717616.260.1578649381.790.4202498_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.560431,0.600617,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1069.7,-803.3,-700.0,-998.0,-990.8,-950.7,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649386.487_1.2.840.113619.2.278.3.717616.260.1578649386.492.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.520335,0.582499,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1036.2,-900.8,-700.0,-998.9,-994.9,-969.0,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649386.487_1.2.840.113619.2.278.3.717616.260.1578649386.582.4202498_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.505847,0.54379,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1028.4,-763.4,-700.0,-997.6,-989.0,-947.4,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649386.487_1.2.840.113619.2.278.3.717616.260.1578649386.755.11_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.467899,0.503518,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1002.0,-749.1,-700.0,-997.4,-988.2,-949.6,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649416.936.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.470534,0.683436,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1019.9,-901.5,-700.0,-999.5,-997.5,-974.8,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649417.37.4198401_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.440545,0.636713,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1016.0,-840.0,-700.0,-999.3,-996.4,-961.3,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649416.931_1.2.840.113619.2.278.3.717616.260.1578649417.37.4202498_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.441714,0.624757,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1015.4,-856.3,-700.0,-999.3,-996.1,-956.2,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649417.892_1.2.840.113619.2.278.3.717616.260.1578649417.897.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.508799,0.599952,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1027.2,-844.7,-700.0,-999.2,-996.3,-970.7,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649417.892_1.2.840.113619.2.278.3.717616.260.1578649417.998.4198401_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.53498,0.596296,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1040.9,-800.7,-700.0,-998.7,-993.6,-954.3,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649417.892_1.2.840.113619.2.278.3.717616.260.1578649417.998.4202498_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.502788,0.561545,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1025.3,-819.3,-700.0,-998.4,-992.4,-945.5,-700.0,-700.0
1.2.840.113619.2.278.3.717616.260.1578649418.868_1.2.840.113619.2.278.3.717616.260.1578649418.873.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.51151,0.674979,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1026.5,-954.1,-725.3,-999.6,-997.8,-977.6,-801.4,-700.0
1.2.840.113619.2.278.3.717616.260.1578649418.868_1.2.840.113619.2.278.3.717616.260.1578649418.976.4202498_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.548419,0.658369,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1040.2,-880.9,-700.0,-999.2,-996.1,-956.4,-727.2,-700.0
1.2.840.113619.2.278.3.717616.260.1578649418.868_1.2.840.113619.2.278.3.717616.260.1578649419.700.11_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.495999,0.609511,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1022.9,-907.4,-711.4,-999.1,-995.6,-951.7,-810.8,-700.0
1.2.840.113619.2.278.3.717616.286.1587944966.46_1.2.840.113619.2.278.3.717616.286.1587944966.152.4198401_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.584512,0.650905,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1067.8,-818.7,-700.0,-999.0,-995.3,-967.2,-700.0,-700.0
1.2.840.113619.2.278.3.717616.286.1587944966.46_1.2.840.113619.2.278.3.717616.286.1587944966.152.4202498_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.592241,0.651335,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1073.2,-869.6,-700.0,-998.9,-994.6,-948.7,-700.0,-700.0
1.2.840.113619.2.278.3.717616.286.1587944966.46_1.2.840.113619.2.278.3.717616.286.1587944966.51.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.619293,0.692315,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1083.0,-930.8,-700.0,-999.3,-996.7,-976.1,-720.2,-700.0
1.2.840.113619.2.278.3.717616.286.1587944966.506_1.2.840.113619.2.278.3.717616.286.1587944966.511.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.494729,0.597115,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1022.1,-922.2,-700.0,-999.3,-996.6,-972.7,-728.8,-700.0
1.2.840.113619.2.278.3.717616.286.1587944966.506_1.2.840.113619.2.278.3.717616.286.1587944966.605.4198401_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.48435,0.557603,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1016.9,-825.9,-700.0,-998.9,-994.7,-959.7,-700.0,-700.0
1.2.840.113619.2.278.3.717616.286.1587944966.506_1.2.840.113619.2.278.3.717616.286.1587944966.605.4202498_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.469205,0.536174,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1010.6,-874.1,-700.0,-998.8,-994.2,-952.6,-725.8,-700.0
1.2.840.113619.2.278.3.717616.286.1587944967.557_1.2.840.113619.2.278.3.717616.286.1587944967.562.3_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.583778,0.635028,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1089.1,-891.8,-700.0,-998.8,-994.5,-965.0,-701.8,-700.0
1.2.840.113619.2.278.3.717616.286.1587944967.557_1.2.840.113619.2.278.3.717616.286.1587944967.658.4198401_crop.nii.gz,-1200.0,-700.0,0.0,0.0,0.0,0.570491,0.611579,0.0,0.0,0.0,0.0,-1200.0,-1200.0,-1082.3,-857.8,-700.0,-998.2,-991.9,-958.8,-706.4,-700.0
