filename,true_min,true_max,frac_le_4096,frac_le_2048,frac_le_1500,frac_le_1024,frac_le_1000,frac_ge_1000,frac_ge_1500,frac_ge_2000,frac_ge_3000,pct_1_all,pct_5_all,pct_50_all,pct_95_all,pct_99_all,pct_1_body,pct_5_body,pct_50_body,pct_95_body,pct_99_body
1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.252.3_standardized.nii.gz,-4048.0,1025.56005859375,0.0,0.217623,0.734989,0.814908,0.843205,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-2003.7,-955.9,-687.5,-999.0,-995.1,-966.7,-636.7,-280.7
1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4198401_standardized.nii.gz,-4048.0,1203.266845703125,0.0,0.217617,0.737714,0.812872,0.835245,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-2004.9,-944.2,-683.3,-998.5,-993.0,-959.6,-643.2,-278.4
1.2.840.113619.2.278.3.717616.260.1578649367.247_1.2.840.113619.2.278.3.717616.260.1578649367.337.4202498_standardized.nii.gz,-4048.0,1176.5845947265625,0.0,0.217614,0.734367,0.806917,0.828635,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-2004.0,-928.0,-679.8,-998.4,-992.2,-954.3,-647.8,-287.9
1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.739.3_standardized.nii.gz,-4048.0,2047.0,0.0,0.217717,0.640241,0.817034,0.845267,6e-06,5e-06,3e-06,0.0,-4048.0,-4048.0,-1975.9,-961.0,-679.0,-999.1,-995.6,-970.7,-604.6,-139.9
1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4198401_standardized.nii.gz,-4048.0,2047.0,0.0,0.217729,0.639701,0.812102,0.836715,6e-06,5e-06,3e-06,0.0,-4048.0,-4048.0,-1974.7,-944.2,-667.1,-998.8,-994.2,-961.9,-617.1,-156.1
1.2.840.113619.2.278.3.717616.260.1578649371.734_1.2.840.113619.2.278.3.717616.260.1578649371.831.4202498_standardized.nii.gz,-4048.0,2047.0,0.0,0.21772,0.639872,0.810243,0.833366,7e-06,6e-06,4e-06,0.0,-4048.0,-4048.0,-1972.8,-929.8,-671.6,-998.6,-993.4,-953.0,-620.3,-159.4
1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.309.3_standardized.nii.gz,-4048.0,2047.0,0.0,0.217662,0.710792,0.82536,0.851085,3e-06,2e-06,0.0,0.0,-4048.0,-4048.0,-2000.1,-955.6,-677.5,-999.0,-995.2,-966.6,-614.5,-276.2
1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4198401_standardized.nii.gz,-4048.0,2047.0,0.0,0.217699,0.696073,0.815189,0.838662,5e-06,3e-06,1e-06,0.0,-4048.0,-4048.0,-2000.5,-949.5,-692.1,-998.6,-993.7,-963.1,-652.6,-301.3
1.2.840.113619.2.278.3.717616.260.1578649372.302_1.2.840.113619.2.278.3.717616.260.1578649372.435.4202498_standardized.nii.gz,-4048.0,2047.0,0.0,0.217691,0.709334,0.818324,0.838535,4.2e-05,3.3e-05,2.1e-05,0.0,-4048.0,-4048.0,-2000.2,-926.6,-671.9,-998.4,-992.6,-956.4,-626.5,-284.4
1.2.840.113619.2.278.3.717616.260.1578649380.289_1.2.840.113619.2.278.3.717616.260.1578649380.294.3_standardized.nii.gz,-4048.0,2015.892822265625,0.0,0.217727,0.722966,0.815214,0.838978,0.0,0.0,0.0,0.0,-4048.0,-4048.0,-1994.3,-952.4,-632.9,-998.8,-994.5,-965.5,-580.1,-185.7
